Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
San Antonio Spurs,51.0,33.0,18.0,0.6470588235294118,4871.0,4771.0,100.0,5,0.8,6,0.6666666666666666,5,0.8,7,0.5714285714285714
Detroit Pistons,55.0,36.0,19.0,0.6545454545454545,5133.0,5015.0,118.0,5,0.8,6,0.6666666666666666,7,0.5714285714285714,7,0.42857142857142855
Miami Heat,41.0,30.0,11.0,0.7317073170731707,4084.0,4020.0,64.0,4,1.0,4,1.0,7,0.42857142857142855,0,0.0
Phoenix Suns,42.0,29.0,13.0,0.6904761904761905,4665.0,4602.0,63.0,4,1.0,6,0.6666666666666666,5,0.2,0,0.0
Seattle Supersonics,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0
Dallas Mavericks,43.0,28.0,15.0,0.6511627906976745,4434.0,4455.0,-21.0,7,0.5714285714285714,6,0.3333333333333333,0,0.0,0,0.0
Indiana Pacers,42.0,23.0,19.0,0.5476190476190477,3811.0,3849.0,-38.0,7,0.5714285714285714,6,0.3333333333333333,0,0.0,0,0.0
Washington Wizards,39.0,18.0,21.0,0.46153846153846156,3874.0,3899.0,-25.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Houston Rockets,34.0,22.0,12.0,0.6470588235294118,3339.0,3358.0,-19.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Boston Celtics,34.0,21.0,13.0,0.6176470588235294,3388.0,3392.0,-4.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Chicago Bulls,37.0,22.0,15.0,0.5945945945945946,3582.0,3593.0,-11.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Philadelphia 76ers,34.0,18.0,16.0,0.5294117647058824,3389.0,3429.0,-40.0,5,0.2,0,0.0,0,0.0,0,0.0
Sacramento Kings,33.0,17.0,16.0,0.5151515151515151,3457.0,3479.0,-22.0,5,0.2,0,0.0,0,0.0,0,0.0
Denver Nuggets,33.0,25.0,8.0,0.7575757575757576,3461.0,3512.0,-51.0,5,0.2,0,0.0,0,0.0,0,0.0
Memphis Grizzlies,32.0,15.0,17.0,0.46875,2996.0,3040.0,-44.0,4,0.0,0,0.0,0,0.0,0,0.0
New Jersey Nets,31.0,19.0,12.0,0.6129032258064516,2941.0,2992.0,-51.0,4,0.0,0,0.0,0,0.0,0,0.0
Seattle SuperSonics,,,,,,,,5,0.8,6,0.3333333333333333,0,0.0,0,0.0
