Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Dallas Mavericks,46.0,32.0,14.0,0.6956521739130435,4627.0,4506.0,121.0,6,0.6666666666666666,4,1.0,5,0.8,6,0.6666666666666666
Miami Heat,46.0,30.0,16.0,0.6521739130434783,4493.0,4437.0,56.0,5,0.8,5,0.8,5,0.8,6,0.3333333333333333
Oklahoma City Thunder,43.0,28.0,15.0,0.6511627906976745,4470.0,4438.0,32.0,5,0.8,7,0.5714285714285714,5,0.2,0,0.0
Chicago Bulls,43.0,33.0,10.0,0.7674418604651163,4141.0,4073.0,68.0,5,0.8,6,0.6666666666666666,5,0.2,0,0.0
Memphis Grizzlies,36.0,21.0,15.0,0.5833333333333334,3591.0,3600.0,-9.0,6,0.6666666666666666,7,0.42857142857142855,0,0.0,0,0.0
Atlanta Hawks,37.0,16.0,21.0,0.43243243243243246,3326.0,3379.0,-53.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Boston Celtics,36.0,20.0,16.0,0.5555555555555556,3364.0,3352.0,12.0,4,1.0,5,0.2,0,0.0,0,0.0
Los Angeles Lakers,33.0,21.0,12.0,0.6363636363636364,3214.0,3227.0,-13.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
New Orleans Hornets,29.0,14.0,15.0,0.4827586206896552,2726.0,2769.0,-43.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Orlando Magic,30.0,18.0,12.0,0.6,2876.0,2865.0,11.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Portland Trail Blazers,31.0,18.0,13.0,0.5806451612903226,2937.0,2968.0,-31.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
San Antonio Spurs,31.0,16.0,15.0,0.5161290322580645,3165.0,3184.0,-19.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Denver Nuggets,29.0,18.0,11.0,0.6206896551724138,3046.0,3070.0,-24.0,5,0.2,0,0.0,0,0.0,0,0.0
Indiana Pacers,31.0,12.0,19.0,0.3870967741935484,3045.0,3082.0,-37.0,5,0.2,0,0.0,0,0.0,0,0.0
Philadelphia 76ers,30.0,14.0,16.0,0.4666666666666667,2938.0,2975.0,-37.0,5,0.2,0,0.0,0,0.0,0,0.0
New York Knicks,31.0,13.0,18.0,0.41935483870967744,3246.0,3280.0,-34.0,4,0.0,0,0.0,0,0.0,0,0.0
