Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Boston Celtics,56.0,41.0,15.0,0.7321428571428571,5462.0,5326.0,136.0,7,0.5714285714285714,7,0.5714285714285714,6,0.6666666666666666,6,0.6666666666666666
Los Angeles Lakers,49.0,34.0,15.0,0.6938775510204082,5232.0,5186.0,46.0,4,1.0,6,0.6666666666666666,5,0.8,6,0.3333333333333333
Detroit Pistons,45.0,30.0,15.0,0.6666666666666666,4284.0,4245.0,39.0,6,0.6666666666666666,5,0.8,6,0.3333333333333333,0,0.0
San Antonio Spurs,47.0,30.0,17.0,0.6382978723404256,4418.0,4433.0,-15.0,5,0.8,7,0.5714285714285714,5,0.2,0,0.0
New Orleans Hornets,42.0,26.0,16.0,0.6190476190476191,4205.0,4161.0,44.0,5,0.8,7,0.42857142857142855,0,0.0,0,0.0
Cleveland Cavaliers,41.0,22.0,19.0,0.5365853658536586,3824.0,3796.0,28.0,6,0.6666666666666666,7,0.42857142857142855,0,0.0,0,0.0
Utah Jazz,40.0,25.0,15.0,0.625,4193.0,4196.0,-3.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Orlando Magic,36.0,23.0,13.0,0.6388888888888888,3709.0,3693.0,16.0,5,0.8,5,0.2,0,0.0,0,0.0
Atlanta Hawks,37.0,18.0,19.0,0.4864864864864865,3722.0,3806.0,-84.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Houston Rockets,35.0,24.0,11.0,0.6857142857142857,3388.0,3403.0,-15.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Philadelphia 76ers,33.0,18.0,15.0,0.5454545454545454,3225.0,3267.0,-42.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Washington Wizards,35.0,20.0,15.0,0.5714285714285714,3435.0,3455.0,-20.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Phoenix Suns,33.0,19.0,14.0,0.5757575757575758,3585.0,3595.0,-10.0,5,0.2,0,0.0,0,0.0,0,0.0
Toronto Raptors,35.0,13.0,22.0,0.37142857142857144,3534.0,3557.0,-23.0,5,0.2,0,0.0,0,0.0,0,0.0
Dallas Mavericks,33.0,17.0,16.0,0.5151515151515151,3348.0,3392.0,-44.0,5,0.2,0,0.0,0,0.0,0,0.0
Denver Nuggets,33.0,17.0,16.0,0.5151515151515151,3810.0,3863.0,-53.0,4,0.0,0,0.0,0,0.0,0,0.0
