Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
San Antonio Spurs,53.0,39.0,14.0,0.7358490566037735,5131.0,4999.0,132.0,6,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666
New Jersey Nets,48.0,27.0,21.0,0.5625,4484.0,4417.0,67.0,6,0.6666666666666666,4,1.0,4,1.0,6,0.3333333333333333
Dallas Mavericks,49.0,29.0,20.0,0.5918367346938775,5075.0,5087.0,-12.0,7,0.5714285714285714,7,0.5714285714285714,6,0.3333333333333333,0,0.0
Detroit Pistons,46.0,21.0,25.0,0.45652173913043476,4213.0,4198.0,15.0,7,0.5714285714285714,6,0.6666666666666666,4,0.0,0,0.0
Sacramento Kings,39.0,29.0,10.0,0.7435897435897436,4093.0,4065.0,28.0,5,0.8,7,0.42857142857142855,0,0.0,0,0.0
Philadelphia 76ers,41.0,25.0,16.0,0.6097560975609756,4005.0,3995.0,10.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Los Angeles Lakers,41.0,28.0,13.0,0.6829268292682927,4193.0,4190.0,3.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Boston Celtics,38.0,17.0,21.0,0.4473684210526316,3441.0,3447.0,-6.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Portland Trail Blazers,36.0,18.0,18.0,0.5,3451.0,3444.0,7.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Orlando Magic,34.0,19.0,15.0,0.5588235294117647,3355.0,3406.0,-51.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Phoenix Suns,34.0,16.0,18.0,0.47058823529411764,3220.0,3252.0,-32.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
New Orleans Hornets,32.0,20.0,12.0,0.625,3000.0,3010.0,-10.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Minnesota Timberwolves,33.0,19.0,14.0,0.5757575757575758,3296.0,3334.0,-38.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Milwaukee Bucks,35.0,17.0,18.0,0.4857142857142857,3518.0,3544.0,-26.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Indiana Pacers,34.0,13.0,21.0,0.38235294117647056,3188.0,3222.0,-34.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Utah Jazz,33.0,16.0,17.0,0.48484848484848486,3038.0,3091.0,-53.0,5,0.2,0,0.0,0,0.0,0,0.0
