Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Los Angeles Lakers,50.0,31.0,19.0,0.62,4987.0,4899.0,88.0,6,0.6666666666666666,4,1.0,6,0.6666666666666666,7,0.5714285714285714
Boston Celtics,55.0,32.0,23.0,0.5818181818181818,5357.0,5291.0,66.0,5,0.8,6,0.6666666666666666,6,0.6666666666666666,7,0.42857142857142855
Phoenix Suns,43.0,32.0,11.0,0.7441860465116279,4723.0,4649.0,74.0,6,0.6666666666666666,4,1.0,6,0.3333333333333333,0,0.0
Orlando Magic,41.0,32.0,9.0,0.7804878048780488,4199.0,4078.0,121.0,4,1.0,4,1.0,6,0.3333333333333333,0,0.0
Cleveland Cavaliers,39.0,24.0,15.0,0.6153846153846154,3988.0,3974.0,14.0,5,0.8,6,0.3333333333333333,0,0.0,0,0.0
Atlanta Hawks,41.0,23.0,18.0,0.5609756097560976,4033.0,4108.0,-75.0,7,0.5714285714285714,4,0.0,0,0.0,0,0.0
San Antonio Spurs,40.0,23.0,17.0,0.575,4038.0,4072.0,-34.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Utah Jazz,39.0,23.0,16.0,0.5897435897435898,4204.0,4226.0,-22.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Milwaukee Bucks,37.0,25.0,12.0,0.6756756756756757,3540.0,3566.0,-26.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Denver Nuggets,35.0,20.0,15.0,0.5714285714285714,3701.0,3708.0,-7.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Oklahoma City Thunder,36.0,21.0,15.0,0.5833333333333334,3762.0,3772.0,-10.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Dallas Mavericks,34.0,24.0,10.0,0.7058823529411765,3462.0,3465.0,-3.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Portland Trail Blazers,32.0,20.0,12.0,0.625,3131.0,3193.0,-62.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Chicago Bulls,34.0,15.0,19.0,0.4411764705882353,3388.0,3434.0,-46.0,5,0.2,0,0.0,0,0.0,0,0.0
Miami Heat,32.0,20.0,12.0,0.625,3041.0,3082.0,-41.0,5,0.2,0,0.0,0,0.0,0,0.0
Charlotte Bobcats,34.0,18.0,16.0,0.5294117647058824,3212.0,3249.0,-37.0,4,0.0,0,0.0,0,0.0,0,0.0
