Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Golden State Warriors,49.0,33.0,16.0,0.673469387755102,5393.0,5183.0,210.0,5,0.8,5,0.8,7,0.5714285714285714,4,1.0
Cleveland Cavaliers,51.0,31.0,20.0,0.6078431372549019,5510.0,5548.0,-38.0,7,0.5714285714285714,4,1.0,7,0.5714285714285714,4,0.0
Boston Celtics,46.0,27.0,19.0,0.5869565217391305,4789.0,4776.0,13.0,7,0.5714285714285714,5,0.8,7,0.42857142857142855,0,0.0
Houston Rockets,46.0,36.0,10.0,0.782608695652174,4953.0,4922.0,31.0,5,0.8,5,0.8,7,0.42857142857142855,0,0.0
Utah Jazz,39.0,27.0,12.0,0.6923076923076923,4093.0,4117.0,-24.0,6,0.6666666666666666,5,0.2,0,0.0,0,0.0
Philadelphia 76ers,41.0,31.0,10.0,0.7560975609756098,4604.0,4565.0,39.0,5,0.8,5,0.2,0,0.0,0,0.0
New Orleans Pelicans,38.0,25.0,13.0,0.6578947368421053,4283.0,4290.0,-7.0,4,1.0,5,0.2,0,0.0,0,0.0
Toronto Raptors,39.0,26.0,13.0,0.6666666666666666,4326.0,4370.0,-44.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Milwaukee Bucks,36.0,17.0,19.0,0.4722222222222222,3898.0,3902.0,-4.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Indiana Pacers,34.0,21.0,13.0,0.6176470588235294,3493.0,3453.0,40.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Oklahoma City Thunder,33.0,19.0,14.0,0.5757575757575758,3586.0,3612.0,-26.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Washington Wizards,34.0,14.0,20.0,0.4117647058823529,3585.0,3597.0,-12.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Minnesota Timberwolves,30.0,14.0,16.0,0.4666666666666667,3245.0,3289.0,-44.0,5,0.2,0,0.0,0,0.0,0,0.0
Miami Heat,32.0,16.0,16.0,0.5,3472.0,3526.0,-54.0,5,0.2,0,0.0,0,0.0,0,0.0
San Antonio Spurs,31.0,13.0,18.0,0.41935483870967744,3228.0,3272.0,-44.0,5,0.2,0,0.0,0,0.0,0,0.0
Portland Trail Blazers,32.0,20.0,12.0,0.625,3439.0,3475.0,-36.0,4,0.0,0,0.0,0,0.0,0,0.0
