Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Miami Heat,51.0,34.0,17.0,0.6666666666666666,4995.0,4908.0,87.0,6,0.6666666666666666,5,0.8,6,0.6666666666666666,6,0.6666666666666666
Dallas Mavericks,52.0,32.0,20.0,0.6153846153846154,5123.0,5029.0,94.0,4,1.0,7,0.5714285714285714,6,0.6666666666666666,6,0.3333333333333333
Detroit Pistons,48.0,31.0,17.0,0.6458333333333334,4491.0,4434.0,57.0,5,0.8,7,0.5714285714285714,6,0.3333333333333333,0,0.0
Phoenix Suns,49.0,28.0,21.0,0.5714285714285714,5361.0,5337.0,24.0,7,0.5714285714285714,7,0.5714285714285714,6,0.3333333333333333,0,0.0
Cleveland Cavaliers,41.0,25.0,16.0,0.6097560975609756,3853.0,3894.0,-41.0,6,0.6666666666666666,7,0.42857142857142855,0,0.0,0,0.0
San Antonio Spurs,42.0,29.0,13.0,0.6904761904761905,4157.0,4128.0,29.0,6,0.6666666666666666,7,0.42857142857142855,0,0.0,0,0.0
Los Angeles Clippers,41.0,24.0,17.0,0.5853658536585366,4092.0,4047.0,45.0,5,0.8,7,0.42857142857142855,0,0.0,0,0.0
New Jersey Nets,40.0,24.0,16.0,0.6,3746.0,3756.0,-10.0,6,0.6666666666666666,5,0.2,0,0.0,0,0.0
Los Angeles Lakers,36.0,21.0,15.0,0.5833333333333334,3648.0,3695.0,-47.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Sacramento Kings,34.0,21.0,13.0,0.6176470588235294,3356.0,3413.0,-57.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Chicago Bulls,35.0,19.0,16.0,0.5428571428571428,3446.0,3464.0,-18.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Washington Wizards,36.0,17.0,19.0,0.4722222222222222,3749.0,3748.0,1.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Indiana Pacers,38.0,16.0,22.0,0.42105263157894735,3571.0,3593.0,-22.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Milwaukee Bucks,33.0,14.0,19.0,0.42424242424242425,3360.0,3408.0,-48.0,5,0.2,0,0.0,0,0.0,0,0.0
Denver Nuggets,32.0,16.0,16.0,0.5,3131.0,3169.0,-38.0,5,0.2,0,0.0,0,0.0,0,0.0
Memphis Grizzlies,33.0,19.0,14.0,0.5757575757575758,3126.0,3182.0,-56.0,4,0.0,0,0.0,0,0.0,0,0.0
