Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
San Antonio Spurs,47.0,37.0,10.0,0.7872340425531915,4583.0,4504.0,79.0,5,0.8,6,0.6666666666666666,5,0.8,4,1.0
Cleveland Cavaliers,48.0,30.0,18.0,0.625,4515.0,4472.0,43.0,4,1.0,6,0.6666666666666666,6,0.6666666666666666,4,0.0
Detroit Pistons,45.0,29.0,16.0,0.6444444444444445,4214.0,4167.0,47.0,4,1.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0
Utah Jazz,46.0,25.0,21.0,0.5434782608695652,4565.0,4550.0,15.0,7,0.5714285714285714,5,0.8,5,0.2,0,0.0
Phoenix Suns,39.0,26.0,13.0,0.6666666666666666,4192.0,4137.0,55.0,5,0.8,6,0.3333333333333333,0,0.0,0,0.0
New Jersey Nets,39.0,22.0,17.0,0.5641025641025641,3730.0,3708.0,22.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Chicago Bulls,37.0,25.0,12.0,0.6756756756756757,3568.0,3557.0,11.0,4,1.0,6,0.3333333333333333,0,0.0,0,0.0
Golden State Warriors,38.0,21.0,17.0,0.5526315789473685,4075.0,4056.0,19.0,6,0.6666666666666666,5,0.2,0,0.0,0,0.0
Houston Rockets,36.0,21.0,15.0,0.5833333333333334,3467.0,3489.0,-22.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Toronto Raptors,34.0,20.0,14.0,0.5882352941176471,3363.0,3395.0,-32.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Dallas Mavericks,35.0,25.0,10.0,0.7142857142857143,3497.0,3537.0,-40.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Los Angeles Lakers,32.0,13.0,19.0,0.40625,3291.0,3343.0,-52.0,5,0.2,0,0.0,0,0.0,0,0.0
Denver Nuggets,35.0,20.0,15.0,0.5714285714285714,3615.0,3645.0,-30.0,5,0.2,0,0.0,0,0.0,0,0.0
Orlando Magic,31.0,13.0,18.0,0.41935483870967744,2942.0,2978.0,-36.0,4,0.0,0,0.0,0,0.0,0,0.0
Miami Heat,33.0,18.0,15.0,0.5454545454545454,2996.0,3040.0,-44.0,4,0.0,0,0.0,0,0.0,0,0.0
Washington Wizards,35.0,11.0,24.0,0.3142857142857143,3522.0,3557.0,-35.0,4,0.0,0,0.0,0,0.0,0,0.0
