Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
San Antonio Spurs,50.0,38.0,12.0,0.76,5360.0,5146.0,214.0,7,0.5714285714285714,5,0.8,6,0.6666666666666666,5,0.8
Miami Heat,50.0,29.0,21.0,0.58,4897.0,4862.0,35.0,4,1.0,5,0.8,6,0.6666666666666666,5,0.2
Oklahoma City Thunder,46.0,26.0,20.0,0.5652173913043478,4878.0,4898.0,-20.0,7,0.5714285714285714,6,0.6666666666666666,6,0.3333333333333333,0,0.0
Indiana Pacers,47.0,25.0,22.0,0.5319148936170213,4350.0,4369.0,-19.0,7,0.5714285714285714,6,0.6666666666666666,6,0.3333333333333333,0,0.0
Washington Wizards,39.0,24.0,15.0,0.6153846153846154,3876.0,3866.0,10.0,5,0.8,6,0.3333333333333333,0,0.0,0,0.0
Los Angeles Clippers,39.0,26.0,13.0,0.6666666666666666,4276.0,4250.0,26.0,7,0.5714285714285714,6,0.3333333333333333,0,0.0,0,0.0
Brooklyn Nets,42.0,24.0,18.0,0.5714285714285714,4161.0,4177.0,-16.0,7,0.5714285714285714,5,0.2,0,0.0,0,0.0
Portland Trail Blazers,39.0,23.0,16.0,0.5897435897435898,4073.0,4142.0,-69.0,6,0.6666666666666666,5,0.2,0,0.0,0,0.0
Atlanta Hawks,36.0,16.0,20.0,0.4444444444444444,3562.0,3569.0,-7.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Golden State Warriors,35.0,22.0,13.0,0.6285714285714286,3704.0,3735.0,-31.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Dallas Mavericks,34.0,20.0,14.0,0.5882352941176471,3590.0,3604.0,-14.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Memphis Grizzlies,36.0,23.0,13.0,0.6388888888888888,3539.0,3577.0,-38.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Toronto Raptors,35.0,22.0,13.0,0.6285714285714286,3601.0,3612.0,-11.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Houston Rockets,34.0,19.0,15.0,0.5588235294117647,3776.0,3774.0,2.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Chicago Bulls,34.0,21.0,13.0,0.6176470588235294,3238.0,3261.0,-23.0,5,0.2,0,0.0,0,0.0,0,0.0
Charlotte Hornets,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0
Charlotte Bobcats,,,,,,,,4,0.0,0,0.0,0,0.0,0,0.0
