Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Los Angeles Lakers,51.0,37.0,14.0,0.7254901960784313,5248.0,5082.0,166.0,5,0.8,7,0.5714285714285714,6,0.6666666666666666,5,0.8
Orlando Magic,53.0,33.0,20.0,0.6226415094339622,5207.0,5163.0,44.0,6,0.6666666666666666,7,0.5714285714285714,6,0.6666666666666666,5,0.2
Cleveland Cavaliers,44.0,35.0,9.0,0.7954545454545454,4351.0,4232.0,119.0,4,1.0,4,1.0,6,0.3333333333333333,0,0.0
Denver Nuggets,44.0,27.0,17.0,0.6136363636363636,4694.0,4556.0,138.0,5,0.8,5,0.8,6,0.3333333333333333,0,0.0
Boston Celtics,41.0,25.0,16.0,0.6097560975609756,4133.0,4133.0,0.0,7,0.5714285714285714,7,0.42857142857142855,0,0.0,0,0.0
Houston Rockets,41.0,27.0,14.0,0.6585365853658537,3932.0,3951.0,-19.0,6,0.6666666666666666,7,0.42857142857142855,0,0.0,0,0.0
Dallas Mavericks,39.0,23.0,16.0,0.5897435897435898,4003.0,4012.0,-9.0,5,0.8,5,0.2,0,0.0,0,0.0
Atlanta Hawks,39.0,19.0,20.0,0.48717948717948717,3640.0,3718.0,-78.0,7,0.5714285714285714,4,0.0,0,0.0,0,0.0
Miami Heat,36.0,18.0,18.0,0.5,3567.0,3561.0,6.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Chicago Bulls,35.0,20.0,15.0,0.5714285714285714,3709.0,3739.0,-30.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Philadelphia 76ers,35.0,16.0,19.0,0.45714285714285713,3413.0,3459.0,-46.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Portland Trail Blazers,35.0,23.0,12.0,0.6571428571428571,3440.0,3472.0,-32.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
New Orleans Hornets,35.0,18.0,17.0,0.5142857142857142,3295.0,3416.0,-121.0,5,0.2,0,0.0,0,0.0,0,0.0
San Antonio Spurs,35.0,20.0,15.0,0.5714285714285714,3316.0,3346.0,-30.0,5,0.2,0,0.0,0,0.0,0,0.0
Utah Jazz,33.0,18.0,15.0,0.5454545454545454,3426.0,3472.0,-46.0,5,0.2,0,0.0,0,0.0,0,0.0
Detroit Pistons,34.0,12.0,22.0,0.35294117647058826,3165.0,3227.0,-62.0,4,0.0,0,0.0,0,0.0,0,0.0
