Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Detroit Pistons,49.0,36.0,13.0,0.7346938775510204,4369.0,4222.0,147.0,5,0.8,7,0.5714285714285714,6,0.6666666666666666,5,0.8
Los Angeles Lakers,52.0,36.0,16.0,0.6923076923076923,4943.0,4923.0,20.0,5,0.8,6,0.6666666666666666,6,0.6666666666666666,5,0.2
Minnesota Timberwolves,47.0,30.0,17.0,0.6382978723404256,4339.0,4340.0,-1.0,5,0.8,7,0.5714285714285714,6,0.3333333333333333,0,0.0
Indiana Pacers,44.0,32.0,12.0,0.7272727272727273,4022.0,3951.0,71.0,4,1.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0
Sacramento Kings,43.0,24.0,19.0,0.5581395348837209,4192.0,4191.0,1.0,5,0.8,7,0.42857142857142855,0,0.0,0,0.0
New Jersey Nets,41.0,22.0,19.0,0.5365853658536586,3668.0,3641.0,27.0,4,1.0,7,0.42857142857142855,0,0.0,0,0.0
San Antonio Spurs,38.0,27.0,11.0,0.7105263157894737,3533.0,3502.0,31.0,4,1.0,6,0.3333333333333333,0,0.0,0,0.0
Miami Heat,40.0,25.0,15.0,0.625,3706.0,3704.0,2.0,7,0.5714285714285714,6,0.3333333333333333,0,0.0,0,0.0
New Orleans Hornets,35.0,14.0,21.0,0.4,3126.0,3147.0,-21.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Milwaukee Bucks,34.0,14.0,20.0,0.4117647058823529,3351.0,3414.0,-63.0,5,0.2,0,0.0,0,0.0,0,0.0
Houston Rockets,34.0,15.0,19.0,0.4411764705882353,3141.0,3168.0,-27.0,5,0.2,0,0.0,0,0.0,0,0.0
Denver Nuggets,32.0,12.0,20.0,0.375,3078.0,3098.0,-20.0,5,0.2,0,0.0,0,0.0,0,0.0
Dallas Mavericks,33.0,19.0,14.0,0.5757575757575758,3542.0,3535.0,7.0,5,0.2,0,0.0,0,0.0,0,0.0
Memphis Grizzlies,33.0,19.0,14.0,0.5757575757575758,3136.0,3192.0,-56.0,4,0.0,0,0.0,0,0.0,0,0.0
New York Knicks,31.0,13.0,18.0,0.41935483870967744,2857.0,2908.0,-51.0,4,0.0,0,0.0,0,0.0,0,0.0
Boston Celtics,31.0,13.0,18.0,0.41935483870967744,2946.0,3013.0,-67.0,4,0.0,0,0.0,0,0.0,0,0.0
