Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Golden State Warriors,52.0,41.0,11.0,0.7884615384615384,5546.0,5382.0,164.0,4,1.0,6,0.6666666666666666,5,0.8,6,0.6666666666666666
Cleveland Cavaliers,47.0,34.0,13.0,0.723404255319149,4818.0,4738.0,80.0,4,1.0,6,0.6666666666666666,4,1.0,6,0.3333333333333333
Houston Rockets,46.0,29.0,17.0,0.6304347826086957,4895.0,4937.0,-42.0,5,0.8,7,0.5714285714285714,5,0.2,0,0.0
Atlanta Hawks,44.0,25.0,19.0,0.5681818181818182,4392.0,4395.0,-3.0,6,0.6666666666666666,6,0.6666666666666666,4,0.0,0,0.0
Los Angeles Clippers,42.0,28.0,14.0,0.6666666666666666,4496.0,4477.0,19.0,7,0.5714285714285714,7,0.42857142857142855,0,0.0,0,0.0
Washington Wizards,38.0,19.0,19.0,0.5,3709.0,3670.0,39.0,4,1.0,6,0.3333333333333333,0,0.0,0,0.0
Chicago Bulls,40.0,22.0,18.0,0.55,3900.0,3859.0,41.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Memphis Grizzlies,40.0,22.0,18.0,0.55,3774.0,3788.0,-14.0,5,0.8,6,0.3333333333333333,0,0.0,0,0.0
San Antonio Spurs,36.0,24.0,12.0,0.6666666666666666,3850.0,3847.0,3.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Milwaukee Bucks,35.0,13.0,22.0,0.37142857142857144,3297.0,3371.0,-74.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Brooklyn Nets,36.0,19.0,17.0,0.5277777777777778,3651.0,3684.0,-33.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Portland Trail Blazers,34.0,16.0,18.0,0.47058823529411764,3459.0,3493.0,-34.0,5,0.2,0,0.0,0,0.0,0,0.0
Dallas Mavericks,32.0,15.0,17.0,0.46875,3329.0,3350.0,-21.0,5,0.2,0,0.0,0,0.0,0,0.0
Boston Celtics,35.0,20.0,15.0,0.5714285714285714,3550.0,3587.0,-37.0,4,0.0,0,0.0,0,0.0,0,0.0
New Orleans Pelicans,33.0,18.0,15.0,0.5454545454545454,3258.0,3290.0,-32.0,4,0.0,0,0.0,0,0.0,0,0.0
Toronto Raptors,33.0,13.0,20.0,0.3939393939393939,3315.0,3371.0,-56.0,4,0.0,0,0.0,0,0.0,0,0.0
