Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Miami Heat,54.0,45.0,9.0,0.8333333333333334,5406.0,5258.0,148.0,4,1.0,5,0.8,7,0.5714285714285714,7,0.5714285714285714
San Antonio Spurs,48.0,30.0,18.0,0.625,4821.0,4674.0,147.0,4,1.0,6,0.6666666666666666,4,1.0,7,0.42857142857142855
Indiana Pacers,46.0,27.0,19.0,0.5869565217391305,4374.0,4371.0,3.0,6,0.6666666666666666,6,0.6666666666666666,7,0.42857142857142855,0,0.0
Memphis Grizzlies,44.0,29.0,15.0,0.6590909090909091,4108.0,4099.0,9.0,6,0.6666666666666666,5,0.8,4,0.0,0,0.0
New York Knicks,43.0,28.0,15.0,0.6511627906976745,4151.0,4119.0,32.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Golden State Warriors,40.0,22.0,18.0,0.55,4068.0,4066.0,2.0,6,0.6666666666666666,6,0.3333333333333333,0,0.0,0,0.0
Oklahoma City Thunder,39.0,26.0,13.0,0.6666666666666666,4013.0,3998.0,15.0,6,0.6666666666666666,5,0.2,0,0.0,0,0.0
Chicago Bulls,41.0,19.0,22.0,0.4634146341463415,3807.0,3887.0,-80.0,7,0.5714285714285714,5,0.2,0,0.0,0,0.0
Brooklyn Nets,34.0,19.0,15.0,0.5588235294117647,3385.0,3371.0,14.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Los Angeles Clippers,32.0,19.0,13.0,0.59375,3232.0,3265.0,-33.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Houston Rockets,32.0,17.0,15.0,0.53125,3329.0,3364.0,-35.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Denver Nuggets,33.0,25.0,8.0,0.7575757575757576,3551.0,3576.0,-25.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Boston Celtics,33.0,15.0,18.0,0.45454545454545453,3140.0,3172.0,-32.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Atlanta Hawks,36.0,17.0,19.0,0.4722222222222222,3533.0,3564.0,-31.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Los Angeles Lakers,31.0,19.0,12.0,0.6129032258064516,3121.0,3196.0,-75.0,4,0.0,0,0.0,0,0.0,0,0.0
Milwaukee Bucks,33.0,12.0,21.0,0.36363636363636365,3274.0,3333.0,-59.0,4,0.0,0,0.0,0,0.0,0,0.0
