Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%
Cleveland Cavaliers,51.0,35.0,16.0,0.6862745098039216,5405.0,5224.0,181.0,4,1.0,4,1.0,6,0.6666666666666666,7,0.5714285714285714
Golden State Warriors,54.0,40.0,14.0,0.7407407407407407,6002.0,5897.0,105.0,5,0.8,5,0.8,7,0.5714285714285714,7,0.42857142857142855
Oklahoma City Thunder,46.0,26.0,20.0,0.5652173913043478,5008.0,4913.0,95.0,5,0.8,6,0.6666666666666666,7,0.42857142857142855,0,0.0
Toronto Raptors,50.0,31.0,19.0,0.62,4995.0,5080.0,-85.0,7,0.5714285714285714,7,0.5714285714285714,6,0.3333333333333333,0,0.0
Miami Heat,43.0,26.0,17.0,0.6046511627906976,4470.0,4426.0,44.0,7,0.5714285714285714,7,0.42857142857142855,0,0.0,0,0.0
San Antonio Spurs,39.0,28.0,11.0,0.717948717948718,3944.0,3853.0,91.0,4,1.0,6,0.3333333333333333,0,0.0,0,0.0
Portland Trail Blazers,39.0,22.0,17.0,0.5641025641025641,4243.0,4271.0,-28.0,6,0.6666666666666666,5,0.2,0,0.0,0,0.0
Atlanta Hawks,37.0,21.0,16.0,0.5675675675675675,3802.0,3812.0,-10.0,6,0.6666666666666666,4,0.0,0,0.0,0,0.0
Charlotte Hornets,36.0,24.0,12.0,0.6666666666666666,3702.0,3764.0,-62.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Indiana Pacers,36.0,20.0,16.0,0.5555555555555556,3598.0,3588.0,10.0,7,0.42857142857142855,0,0.0,0,0.0,0,0.0
Los Angeles Clippers,,,,,,,,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Boston Celtics,33.0,18.0,15.0,0.5454545454545454,3416.0,3456.0,-40.0,6,0.3333333333333333,0,0.0,0,0.0,0,0.0
Houston Rockets,32.0,15.0,17.0,0.46875,3418.0,3512.0,-94.0,5,0.2,0,0.0,0,0.0,0,0.0
Dallas Mavericks,32.0,14.0,18.0,0.4375,3313.0,3404.0,-91.0,5,0.2,0,0.0,0,0.0,0,0.0
Memphis Grizzlies,33.0,11.0,22.0,0.3333333333333333,3248.0,3336.0,-88.0,4,0.0,0,0.0,0,0.0,0,0.0
Detroit Pistons,32.0,17.0,15.0,0.53125,3245.0,3279.0,-34.0,4,0.0,0,0.0,0,0.0,0,0.0
